index,bound,sat,cost,new_degree,neighbor_mask_hex,cnf_clauses,cnf_variables,i4,k4
300,2,False,,,,13854,6971,1145,1166
301,2,False,,,,13878,6983,1137,1178
302,2,False,,,,13848,6968,1145,1165
303,2,False,,,,13812,6950,1156,1148
304,2,False,,,,13842,6965,1148,1161
305,2,False,,,,13848,6968,1152,1158
306,2,False,,,,13884,6986,1157,1159
307,2,False,,,,13860,6974,1166,1146
308,2,False,,,,13884,6986,1158,1158
309,2,False,,,,13908,6998,1149,1171
310,2,False,,,,13914,7001,1148,1173
311,2,False,,,,13890,6989,1157,1160
312,2,False,,,,13920,7004,1149,1173
313,2,False,,,,13944,7016,1140,1186
314,2,False,,,,13866,6977,1159,1154
315,2,False,,,,13842,6965,1168,1141
316,2,False,,,,13902,6995,1150,1169
317,2,False,,,,13878,6983,1159,1156
318,2,False,,,,13878,6983,1147,1168
319,2,False,,,,13854,6971,1156,1155
320,2,False,,,,13878,6983,1148,1167
321,2,False,,,,13902,6995,1139,1180
322,2,False,,,,13908,6998,1138,1182
323,2,False,,,,13884,6986,1147,1169
324,2,False,,,,13914,7001,1139,1182
325,2,False,,,,13938,7013,1130,1195
326,2,False,,,,13914,7001,1144,1177
327,2,False,,,,13878,6983,1151,1164
