index,bound,sat,cost,new_degree,neighbor_mask_hex,cnf_clauses,cnf_variables,i4,k4
200,2,False,,,,13806,6947,1128,1175
201,2,False,,,,13842,6965,1121,1188
202,2,False,,,,13836,6962,1120,1188
203,2,False,,,,13872,6980,1113,1201
204,2,False,,,,13770,6929,1140,1157
205,2,False,,,,13806,6947,1133,1170
206,2,False,,,,13806,6947,1131,1172
207,2,False,,,,13842,6965,1124,1185
208,2,False,,,,13782,6935,1128,1171
209,2,False,,,,13818,6953,1121,1184
210,2,False,,,,13806,6947,1120,1183
211,2,False,,,,13842,6965,1113,1196
212,2,False,,,,13812,6950,1119,1185
213,2,False,,,,13848,6968,1112,1198
214,2,False,,,,13842,6965,1111,1198
215,2,False,,,,13860,6974,1114,1198
216,2,False,,,,13824,6956,1123,1183
217,2,False,,,,13866,6977,1132,1181
218,2,False,,,,13878,6983,1137,1178
219,2,False,,,,13860,6974,1147,1165
220,2,False,,,,13890,6989,1159,1158
221,2,False,,,,13860,6974,1171,1141
222,2,False,,,,13896,6992,1147,1171
223,2,False,,,,13866,6977,1159,1154
224,2,False,,,,13860,6974,1158,1154
225,2,False,,,,13824,6956,1161,1145
226,2,False,,,,13872,6980,1169,1145
227,2,False,,,,13842,6965,1181,1128
228,2,False,,,,13884,6986,1149,1167
229,2,False,,,,13818,6953,1142,1163
230,2,False,,,,13854,6971,1133,1178
231,2,False,,,,13884,6986,1125,1191
232,2,False,,,,13848,6968,1134,1176
233,2,False,,,,13812,6950,1150,1154
234,2,False,,,,13842,6965,1142,1167
235,2,False,,,,13866,6977,1134,1179
236,2,False,,,,13836,6962,1142,1166
237,2,False,,,,13842,6965,1141,1168
238,2,False,,,,13872,6980,1133,1181
239,2,False,,,,13872,6980,1133,1181
240,2,False,,,,13902,6995,1125,1194
241,2,False,,,,13800,6944,1152,1150
242,2,False,,,,13830,6959,1144,1163
243,2,False,,,,13836,6962,1143,1165
244,2,False,,,,13866,6977,1135,1178
245,2,False,,,,13812,6950,1140,1164
246,2,False,,,,13842,6965,1132,1177
247,2,False,,,,13866,6977,1124,1189
248,2,False,,,,13836,6962,1132,1176
249,2,False,,,,13842,6965,1131,1178
250,2,False,,,,13872,6980,1123,1191
251,2,False,,,,13872,6980,1123,1191
252,2,False,,,,13902,6995,1115,1204
253,2,False,,,,13854,6971,1130,1181
254,2,False,,,,13884,6986,1148,1168
255,2,True,2,20,0x17a13a1ff,13974,7031,1131,1200
256,2,False,,,,13956,7022,1141,1187
257,2,False,,,,13884,6986,1149,1167
258,2,False,,,,13860,6974,1158,1154
259,2,False,,,,13938,7013,1142,1183
260,2,False,,,,13902,6995,1136,1183
261,2,False,,,,13896,6992,1139,1179
262,2,False,,,,13902,6995,1153,1166
263,2,False,,,,13932,7010,1128,1196
264,2,False,,,,13884,6986,1137,1179
265,2,False,,,,13878,6983,1149,1166
266,2,False,,,,13884,6986,1163,1153
267,2,False,,,,13890,6989,1151,1166
268,2,False,,,,13932,7010,1134,1190
269,2,False,,,,13896,6992,1141,1177
270,2,False,,,,13890,6989,1153,1164
271,2,False,,,,13872,6980,1148,1166
272,2,False,,,,13932,7010,1156,1168
273,2,False,,,,13902,6995,1146,1173
274,2,False,,,,13908,6998,1160,1160
275,2,False,,,,13866,6977,1153,1160
276,2,False,,,,13872,6980,1167,1147
277,2,False,,,,13866,6977,1179,1134
278,2,False,,,,13926,7007,1172,1151
279,2,False,,,,13920,7004,1158,1164
280,2,False,,,,13860,6974,1165,1147
281,2,False,,,,13878,6983,1155,1160
282,2,False,,,,13884,6986,1169,1147
283,2,False,,,,13920,7004,1140,1182
284,2,False,,,,13896,6992,1149,1169
285,2,False,,,,13926,7007,1144,1179
286,2,False,,,,13830,6959,1146,1161
287,2,False,,,,13866,6977,1137,1176
288,2,False,,,,13920,7004,1130,1192
289,2,False,,,,13944,7016,1156,1170
290,2,False,,,,13890,6989,1153,1164
291,2,False,,,,13908,6998,1143,1177
292,2,False,,,,13950,7019,1146,1181
293,2,False,,,,13872,6980,1163,1151
294,2,False,,,,13866,6977,1164,1149
295,2,False,,,,13824,6956,1144,1162
296,2,False,,,,13854,6971,1136,1175
297,2,False,,,,13848,6968,1136,1174
298,2,False,,,,13878,6983,1128,1187
299,2,False,,,,13824,6956,1153,1153
