index,bound,sat,cost,new_degree,neighbor_mask_hex,cnf_clauses,cnf_variables,i4,k4
0,1,False,,,,9248,4667,1172,1141
1,1,False,,,,9216,4651,1156,1149
2,1,False,,,,9224,4655,1145,1162
3,1,False,,,,9228,4657,1186,1122
4,1,False,,,,9220,4653,1171,1135
5,1,False,,,,9224,4655,1159,1148
6,1,False,,,,9244,4665,1151,1161
7,1,False,,,,9220,4653,1170,1136
8,1,False,,,,9212,4649,1155,1149
9,1,False,,,,9216,4651,1143,1162
10,1,False,,,,9236,4661,1135,1175
11,1,False,,,,9240,4663,1156,1155
12,1,False,,,,9244,4665,1184,1128
13,1,False,,,,9248,4667,1198,1115
14,1,False,,,,9236,4661,1182,1128
15,1,False,,,,9244,4665,1171,1141
16,1,False,,,,9260,4673,1162,1154
17,1,False,,,,9240,4663,1182,1129
18,1,False,,,,9228,4657,1166,1142
19,1,False,,,,9236,4661,1155,1155
20,1,False,,,,9252,4669,1146,1168
21,1,False,,,,9224,4655,1172,1135
22,1,False,,,,9232,4659,1161,1148
23,1,False,,,,9256,4671,1211,1104
24,1,False,,,,9236,4661,1168,1142
25,1,False,,,,9248,4667,1132,1181
26,1,False,,,,9236,4661,1142,1168
27,1,False,,,,9224,4655,1143,1164
28,1,False,,,,9212,4649,1153,1151
29,1,False,,,,9224,4655,1130,1177
30,1,False,,,,9212,4649,1140,1164
31,1,False,,,,9244,4665,1138,1174
32,1,False,,,,9232,4659,1157,1152
33,1,False,,,,9212,4649,1156,1148
34,1,False,,,,9252,4669,1136,1178
35,1,False,,,,9232,4659,1148,1161
36,1,False,,,,9240,4663,1146,1165
37,1,False,,,,9244,4665,1147,1165
38,1,False,,,,9224,4655,1159,1148
39,1,False,,,,9248,4667,1136,1177
40,1,False,,,,9256,4671,1216,1099
41,1,False,,,,9268,4677,1133,1185
42,1,False,,,,9280,4683,1114,1207
43,1,False,,,,9268,4677,1124,1194
44,1,False,,,,9232,4659,1132,1177
45,1,False,,,,9256,4671,1121,1194
46,1,False,,,,9232,4659,1132,1177
47,1,False,,,,9220,4653,1142,1164
48,1,False,,,,9244,4665,1131,1181
49,1,False,,,,9220,4653,1158,1148
