index,bound,sat,cost,new_degree,neighbor_mask_hex,cnf_clauses,cnf_variables,i4,k4
100,2,False,,,,13872,6980,1114,1200
101,2,False,,,,13818,6953,1131,1174
102,2,False,,,,13818,6953,1131,1174
103,2,False,,,,13836,6962,1121,1187
104,2,False,,,,13800,6944,1141,1161
105,2,False,,,,13854,6971,1124,1187
106,2,False,,,,13830,6959,1128,1179
107,2,False,,,,13866,6977,1117,1196
108,2,False,,,,13872,6980,1118,1196
109,2,False,,,,13854,6971,1128,1183
110,2,False,,,,13818,6953,1126,1179
111,2,False,,,,13818,6953,1139,1166
112,2,False,,,,13854,6971,1128,1183
113,2,False,,,,13800,6944,1165,1137
114,2,False,,,,13818,6953,1155,1150
115,2,False,,,,13830,6959,1144,1163
116,2,False,,,,13848,6968,1134,1176
117,2,False,,,,13860,6974,1132,1180
118,2,False,,,,13806,6947,1152,1151
119,2,False,,,,13908,6998,1129,1191
120,2,False,,,,13890,6989,1139,1178
121,2,False,,,,13884,6986,1122,1194
122,2,False,,,,13878,6983,1157,1158
123,2,False,,,,13848,6968,1169,1141
124,2,False,,,,13842,6965,1168,1141
125,2,False,,,,13866,6977,1159,1154
126,2,False,,,,13824,6956,1182,1124
127,2,False,,,,13812,6950,1167,1137
128,2,False,,,,13818,6953,1155,1150
129,2,False,,,,13848,6968,1147,1163
130,2,False,,,,13818,6953,1168,1137
131,2,False,,,,13830,6959,1157,1150
132,2,False,,,,13776,6932,1140,1158
133,2,False,,,,13824,6956,1107,1199
134,2,False,,,,13806,6947,1117,1186
135,2,False,,,,13824,6956,1116,1190
136,2,False,,,,13770,6929,1137,1160
137,2,False,,,,13806,6947,1126,1177
138,2,False,,,,13788,6938,1114,1186
139,2,False,,,,13788,6938,1127,1173
140,2,False,,,,13824,6956,1116,1190
141,2,False,,,,13788,6938,1127,1173
142,2,False,,,,13806,6947,1117,1186
143,2,False,,,,13842,6965,1106,1203
144,2,False,,,,13884,6986,1127,1189
145,2,False,,,,13854,6971,1135,1176
146,2,False,,,,13884,6986,1127,1189
147,2,False,,,,13914,7001,1119,1202
148,2,False,,,,13884,6986,1136,1180
149,2,False,,,,13854,6971,1144,1167
150,2,False,,,,13884,6986,1136,1180
151,2,False,,,,13914,7001,1128,1193
152,2,False,,,,13848,6968,1147,1163
153,2,False,,,,13878,6983,1139,1176
154,2,False,,,,13812,6950,1154,1150
155,2,False,,,,13800,6944,1152,1150
156,2,False,,,,13770,6929,1153,1144
157,2,False,,,,13788,6938,1143,1157
158,2,False,,,,13770,6929,1140,1157
159,2,False,,,,13806,6947,1133,1170
160,2,False,,,,13824,6956,1123,1183
161,2,False,,,,13806,6947,1133,1170
162,2,False,,,,13788,6938,1130,1170
163,2,False,,,,13788,6938,1143,1157
164,2,False,,,,13836,6962,1121,1187
165,2,False,,,,13818,6953,1131,1174
166,2,False,,,,13812,6950,1166,1138
167,2,False,,,,13806,6947,1139,1164
168,2,False,,,,13836,6962,1131,1177
169,2,False,,,,13800,6944,1151,1151
170,2,False,,,,13854,6971,1136,1175
171,2,False,,,,13878,6983,1121,1194
172,2,False,,,,13914,7001,1138,1183
173,2,False,,,,13956,7022,1119,1209
174,2,False,,,,13896,6992,1148,1170
175,2,False,,,,13938,7013,1129,1196
176,2,False,,,,13914,7001,1138,1183
177,2,False,,,,13830,6959,1145,1162
178,2,False,,,,13920,7004,1126,1196
179,2,False,,,,13896,6992,1125,1193
180,2,False,,,,13878,6983,1135,1180
181,2,False,,,,13818,6953,1142,1163
182,2,False,,,,13830,6959,1153,1154
183,2,False,,,,13848,6968,1143,1167
184,2,False,,,,13830,6959,1144,1163
185,2,False,,,,13842,6965,1142,1167
186,2,False,,,,13860,6974,1138,1174
187,2,False,,,,13818,6953,1141,1164
188,2,False,,,,13842,6965,1145,1164
189,2,False,,,,13896,6992,1129,1189
190,2,False,,,,13872,6980,1130,1184
191,2,False,,,,13854,6971,1145,1166
192,2,False,,,,13872,6980,1161,1153
193,2,False,,,,13884,6986,1145,1171
194,2,False,,,,13788,6938,1130,1170
195,2,False,,,,13824,6956,1121,1185
196,2,False,,,,13776,6932,1137,1161
197,2,False,,,,13812,6950,1130,1174
198,2,False,,,,13836,6962,1122,1186
199,2,False,,,,13800,6944,1129,1173
