index,bound,sat,cost,new_degree,neighbor_mask_hex,cnf_clauses,cnf_variables,i4,k4
0,2,False,,,,13866,6977,1172,1141
1,2,False,,,,13818,6953,1156,1149
2,2,False,,,,13830,6959,1145,1162
3,2,False,,,,13836,6962,1186,1122
4,2,False,,,,13824,6956,1171,1135
5,2,False,,,,13830,6959,1159,1148
6,2,False,,,,13860,6974,1151,1161
7,2,False,,,,13824,6956,1170,1136
8,2,False,,,,13812,6950,1155,1149
9,2,False,,,,13818,6953,1143,1162
10,2,False,,,,13848,6968,1135,1175
11,2,False,,,,13854,6971,1156,1155
12,2,False,,,,13860,6974,1184,1128
13,2,False,,,,13866,6977,1198,1115
14,2,False,,,,13848,6968,1182,1128
15,2,False,,,,13860,6974,1171,1141
16,2,False,,,,13884,6986,1162,1154
17,2,False,,,,13854,6971,1182,1129
18,2,False,,,,13836,6962,1166,1142
19,2,False,,,,13848,6968,1155,1155
20,2,False,,,,13872,6980,1146,1168
21,2,False,,,,13830,6959,1172,1135
22,2,False,,,,13842,6965,1161,1148
23,2,False,,,,13878,6983,1211,1104
24,2,False,,,,13848,6968,1168,1142
25,2,False,,,,13866,6977,1132,1181
26,2,False,,,,13848,6968,1142,1168
27,2,False,,,,13830,6959,1143,1164
28,2,False,,,,13812,6950,1153,1151
29,2,False,,,,13830,6959,1130,1177
30,2,False,,,,13812,6950,1140,1164
31,2,False,,,,13860,6974,1138,1174
32,2,False,,,,13842,6965,1157,1152
33,2,False,,,,13812,6950,1156,1148
34,2,False,,,,13872,6980,1136,1178
35,2,False,,,,13842,6965,1148,1161
36,2,False,,,,13854,6971,1146,1165
37,2,False,,,,13860,6974,1147,1165
38,2,False,,,,13830,6959,1159,1148
39,2,False,,,,13866,6977,1136,1177
40,2,False,,,,13878,6983,1216,1099
41,2,True,2,21,0x1e9c0c0dff,13896,6992,1133,1185
42,2,False,,,,13914,7001,1114,1207
43,2,False,,,,13896,6992,1124,1194
44,2,False,,,,13842,6965,1132,1177
45,2,False,,,,13878,6983,1121,1194
46,2,False,,,,13842,6965,1132,1177
47,2,False,,,,13824,6956,1142,1164
48,2,False,,,,13860,6974,1131,1181
49,2,False,,,,13824,6956,1158,1148
50,2,False,,,,13830,6959,1146,1161
51,2,False,,,,13812,6950,1169,1135
52,2,False,,,,13860,6974,1142,1170
53,2,False,,,,13842,6965,1152,1157
54,2,False,,,,13896,6992,1144,1174
55,2,False,,,,13860,6974,1155,1157
56,2,False,,,,13878,6983,1154,1161
57,2,False,,,,13842,6965,1165,1144
58,2,False,,,,13866,6977,1143,1170
59,2,False,,,,13848,6968,1153,1157
60,2,False,,,,13860,6974,1122,1190
61,2,False,,,,13842,6965,1148,1161
62,2,False,,,,13884,6986,1133,1183
63,2,False,,,,13866,6977,1143,1170
64,2,False,,,,13902,6995,1132,1187
65,2,False,,,,13884,6986,1142,1174
66,2,False,,,,13830,6959,1128,1179
67,2,False,,,,13884,6986,1120,1196
68,2,False,,,,13812,6950,1138,1166
69,2,False,,,,13848,6968,1127,1183
70,2,False,,,,13800,6944,1136,1166
71,2,False,,,,13800,6944,1149,1153
72,2,False,,,,13836,6962,1138,1170
73,2,False,,,,13914,7001,1134,1187
74,2,False,,,,13938,7013,1125,1200
75,2,False,,,,13920,7004,1135,1187
76,2,False,,,,13896,6992,1144,1174
77,2,False,,,,13794,6941,1170,1131
78,2,False,,,,13788,6938,1156,1144
79,2,False,,,,13788,6938,1143,1157
80,2,False,,,,13824,6956,1136,1170
81,2,False,,,,13890,6989,1159,1158
82,2,False,,,,13914,7001,1150,1171
83,2,False,,,,13908,6998,1149,1171
84,2,False,,,,13932,7010,1140,1184
85,2,False,,,,13806,6947,1146,1157
86,2,False,,,,13788,6938,1156,1144
87,2,False,,,,13770,6929,1124,1173
88,2,False,,,,13824,6956,1116,1190
89,2,False,,,,13794,6941,1130,1171
90,2,False,,,,13860,6974,1109,1203
91,2,False,,,,13842,6965,1106,1203
92,2,False,,,,13782,6935,1154,1145
93,2,False,,,,13776,6932,1127,1171
94,2,False,,,,13812,6950,1120,1184
95,2,False,,,,13776,6932,1140,1158
96,2,False,,,,13848,6968,1118,1192
97,2,False,,,,13902,6995,1110,1209
98,2,False,,,,13866,6977,1133,1180
99,2,False,,,,13848,6968,1143,1167
